@relation complaints

@attribute text string
@attribute class {LIKELY_GENUINE,POSSIBLY_FAKE}

@data
"My dreams are being monitored by foreign agencies",POSSIBLY_FAKE
"Radio waves are stealing my personal information",POSSIBLY_FAKE
"My neighbour hacked my brain using Bluetooth",POSSIBLY_FAKE
"Hidden cameras are installed inside my thoughts",POSSIBLY_FAKE
"Magic energy is draining my wallet balance",POSSIBLY_FAKE
"Someone changed my bank balance using telepathy",POSSIBLY_FAKE
"Secret satellites are following my movements daily",POSSIBLY_FAKE
"Unknown hackers from another dimension accessed my account",POSSIBLY_FAKE
"My shadow is spying on me for intelligence agency",POSSIBLY_FAKE
"Invisible hackers are living inside my router",POSSIBLY_FAKE
"My neighbour is using black magic to steal my money",POSSIBLY_FAKE
"Government robots are monitoring my private life",POSSIBLY_FAKE
"My thoughts are uploaded to internet without permission",POSSIBLY_FAKE
"Hidden signals from space are deleting my data",POSSIBLY_FAKE
"Secret microchips inside currency notes tracking me",POSSIBLY_FAKE
"Wireless waves are controlling my banking app",POSSIBLY_FAKE
"Aliens transferred funds from my account last night",POSSIBLY_FAKE
"Someone snatched my gold chain near railway station",LIKELY_GENUINE
"My house was broken into and electronics were stolen",LIKELY_GENUINE
"I lost my wallet containing ATM cards and cash",LIKELY_GENUINE
"Fraudster accessed my credit card and made online purchases",LIKELY_GENUINE
"My email account was hacked and recovery details were changed",LIKELY_GENUINE
"I was tricked into paying advance rent for fake apartment listing",LIKELY_GENUINE
"Unknown person withdrew money using my debit card details",LIKELY_GENUINE
"My scooter was stolen from outside my office",LIKELY_GENUINE
"I received OTP messages for transactions I did not initiate",LIKELY_GENUINE
"Someone opened a loan in my name without my permission",LIKELY_GENUINE
"My SIM card was swapped without my knowledge",LIKELY_GENUINE
"I was scammed through fake online shopping website",LIKELY_GENUINE
"Fraudulent transaction happened through my mobile banking app",LIKELY_GENUINE
"My passport was stolen during train journey",LIKELY_GENUINE
"I received threatening calls asking for money",LIKELY_GENUINE
"My vehicle number plate was duplicated and used illegally",LIKELY_GENUINE
"Unauthorized login detected in my social media account",LIKELY_GENUINE
"I was cheated through fake part-time job offer",LIKELY_GENUINE
"My ATM card got skimmed at petrol bunk",LIKELY_GENUINE
"Someone forged my signature on financial documents",LIKELY_GENUINE
"Money was deducted from my wallet app without authorization",LIKELY_GENUINE
"I was blackmailed after video call scam",LIKELY_GENUINE
"My identity documents were stolen from my office drawer",LIKELY_GENUINE
"I paid booking amount for car purchase but seller disappeared",LIKELY_GENUINE
"My online gaming account was hacked and items were stolen",LIKELY_GENUINE
"Fake insurance agent collected premium and vanished",LIKELY_GENUINE
"My courier parcel was stolen before delivery",LIKELY_GENUINE
"I received SMS about loan approval which I never applied for",LIKELY_GENUINE
"Someone used my PAN details for fraudulent credit card",LIKELY_GENUINE
"My bag containing laptop was stolen from airport lounge",LIKELY_GENUINE
"Unauthorized UPI transactions happened multiple times",LIKELY_GENUINE
"I was cheated through fake investment advisory group",LIKELY_GENUINE
"My bank account password was changed without my consent",LIKELY_GENUINE
"I lost cash after someone distracted me at ATM",LIKELY_GENUINE
"Online marketplace seller refused to refund after payment",LIKELY_GENUINE
"Someone accessed my cloud storage and deleted files",LIKELY_GENUINE
"I was targeted in QR code payment scam",LIKELY_GENUINE
"Fake tech support executive gained remote access to my laptop",LIKELY_GENUINE
"My office ID card was misused for unauthorized entry",LIKELY_GENUINE
"Unknown person created fake Facebook account using my photos",LIKELY_GENUINE
"My bank account was debited twice for a single transaction",LIKELY_GENUINE
"I was robbed while returning home late at night",LIKELY_GENUINE
"Someone hacked my Amazon account and placed orders",LIKELY_GENUINE
"My credit card details were stolen from an online website",LIKELY_GENUINE
"I was scammed through fake lottery winning message",LIKELY_GENUINE
"My office laptop was stolen from my car",LIKELY_GENUINE
"Fraudster created fake LinkedIn profile using my name",LIKELY_GENUINE
"I received phishing email pretending to be from my bank",LIKELY_GENUINE
"My mobile wallet balance was transferred without permission",LIKELY_GENUINE
"Someone tampered with my parked car and stole valuables",LIKELY_GENUINE
"I lost my handbag containing passport and cash",LIKELY_GENUINE
"Unknown person used my Aadhaar for SIM registration",LIKELY_GENUINE
"I was cheated in online ticket booking scam",LIKELY_GENUINE
"My ATM card was retained by machine and later misused",LIKELY_GENUINE
"Fraudster posed as courier executive and collected payment",LIKELY_GENUINE
"My Instagram account password was changed by hacker",LIKELY_GENUINE
"Unauthorized EMI started on my credit card",LIKELY_GENUINE
"I was tricked into sharing OTP during KYC update call",LIKELY_GENUINE
"My bike was stolen from apartment parking basement",LIKELY_GENUINE
"Fake real estate agent took token advance and disappeared",LIKELY_GENUINE
"I received multiple spam calls threatening legal action",LIKELY_GENUINE
"My debit card was cloned and used in another city",LIKELY_GENUINE
"I was defrauded through fake cryptocurrency trading app",LIKELY_GENUINE
"Someone hacked my Gmail and sent scam emails to contacts",LIKELY_GENUINE
"My cheque book was stolen and forged cheques were issued",LIKELY_GENUINE
"Fraudulent auto-debit mandate was activated on my account",LIKELY_GENUINE
"I lost my company ID card and it was misused",LIKELY_GENUINE
"Unknown person accessed my Paytm account and transferred money",LIKELY_GENUINE
"My house lock was broken and jewelry was stolen",LIKELY_GENUINE
"I was cheated through fake work-from-home data entry job",LIKELY_GENUINE
"Unauthorized international transaction happened on my card",LIKELY_GENUINE
"Someone used my driving license details fraudulently",LIKELY_GENUINE
"My courier parcel containing phone was replaced with fake item",LIKELY_GENUINE
"I received blackmail messages demanding money online",LIKELY_GENUINE
"My savings account was emptied through multiple small transactions",LIKELY_GENUINE
"Fake NGO representative collected donation and vanished",LIKELY_GENUINE
"My phone was snatched while talking near roadside",LIKELY_GENUINE
"Online scammer convinced me to install remote access app",LIKELY_GENUINE
"Fraudulent refund message led to money loss",LIKELY_GENUINE
"Someone used my PAN to apply for instant loan app",LIKELY_GENUINE
"My child’s online gaming account was hacked and payments made",LIKELY_GENUINE
"Unauthorized subscription charges deducted from my bank account",LIKELY_GENUINE
"I was cheated through fake hotel booking website",LIKELY_GENUINE
"My vehicle documents were stolen from glove compartment",LIKELY_GENUINE
"Fraudster impersonated HR and collected registration fee for job",LIKELY_GENUINE
"Unknown person accessed my net banking using malware link",LIKELY_GENUINE
"My personal photos were misused to create fake social profile",LIKELY_GENUINE
"Someone withdrew money after stealing my ATM PIN",LIKELY_GENUINE
"I paid advance for furniture online but seller blocked me",LIKELY_GENUINE
"Fraudulent SMS about electricity bill caused financial loss",LIKELY_GENUINE
